"Geslacht";"Leeftijd";"Perioden";"Regio's";"Verkeersdoden (aantal)"
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Drenthe (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Drenthe (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Overijssel (PV)";10
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Overijssel (PV)";6
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Overijssel (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Overijssel (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Overijssel (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Overijssel (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Flevoland (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Flevoland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Flevoland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Flevoland (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Flevoland (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Flevoland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Gelderland (PV)";10
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Gelderland (PV)";16
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Gelderland (PV)";6
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Gelderland (PV)";3
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Gelderland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Gelderland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Utrecht (PV)";4
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Utrecht (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Utrecht (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Utrecht (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Utrecht (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Utrecht (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Noord-Holland (PV)";12
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Noord-Holland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Noord-Holland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Noord-Holland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Noord-Holland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Noord-Holland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Zuid-Holland (PV)";4
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Zuid-Holland (PV)";9
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Zuid-Holland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Zuid-Holland (PV)";4
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Zuid-Holland (PV)";3
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Zuid-Holland (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Zeeland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Zeeland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Zeeland (PV)";3
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Zeeland (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Zeeland (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Zeeland (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Noord-Brabant (PV)";13
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Noord-Brabant (PV)";8
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Noord-Brabant (PV)";9
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Noord-Brabant (PV)";3
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Noord-Brabant (PV)";8
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Noord-Brabant (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Limburg (PV)";4
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Limburg (PV)";8
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Limburg (PV)";2
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Limburg (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Limburg (PV)";1
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Limburg (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"1996";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2000";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2005";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2010";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2018";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"Jonger dan 15 jaar";"2019";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Nederland";130
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Nederland";138
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Nederland";71
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Nederland";46
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Nederland";36
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Nederland";38
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Groningen (PV)";8
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Groningen (PV)";3
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Groningen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Groningen (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Groningen (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Groningen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Friesland (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Friesland (PV)";9
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Friesland (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Friesland (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Friesland (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Friesland (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Drenthe (PV)";5
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Drenthe (PV)";5
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Drenthe (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Drenthe (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Drenthe (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Drenthe (PV)";5
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Overijssel (PV)";8
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Overijssel (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Overijssel (PV)";4
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Overijssel (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Overijssel (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Overijssel (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Flevoland (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Flevoland (PV)";3
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Flevoland (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Flevoland (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Flevoland (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Flevoland (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Gelderland (PV)";14
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Gelderland (PV)";19
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Gelderland (PV)";20
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Gelderland (PV)";8
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Gelderland (PV)";4
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Gelderland (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Utrecht (PV)";8
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Utrecht (PV)";10
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Utrecht (PV)";3
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Utrecht (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Utrecht (PV)";3
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Utrecht (PV)";3
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Noord-Holland (PV)";17
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Noord-Holland (PV)";19
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Noord-Holland (PV)";7
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Noord-Holland (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Noord-Holland (PV)";7
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Noord-Holland (PV)";4
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Zuid-Holland (PV)";14
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Zuid-Holland (PV)";24
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Zuid-Holland (PV)";7
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Zuid-Holland (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Zuid-Holland (PV)";3
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Zuid-Holland (PV)";7
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Zeeland (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Zeeland (PV)";5
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Zeeland (PV)";3
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Zeeland (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Zeeland (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Zeeland (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Noord-Brabant (PV)";36
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Noord-Brabant (PV)";24
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Noord-Brabant (PV)";18
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Noord-Brabant (PV)";10
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Noord-Brabant (PV)";8
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Noord-Brabant (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Limburg (PV)";6
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Limburg (PV)";11
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Limburg (PV)";5
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Limburg (PV)";1
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Limburg (PV)";4
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Limburg (PV)";2
"Totaal mannen en vrouwen";"15 tot 20 jaar";"1996";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2000";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2005";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2010";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2018";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"15 tot 20 jaar";"2019";"Niet in te delen (PV)";0
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Nederland";296
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Nederland";256
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Nederland";140
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Nederland";114
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Nederland";87
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Nederland";112
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Groningen (PV)";16
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Groningen (PV)";4
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Groningen (PV)";4
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Groningen (PV)";7
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Groningen (PV)";6
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Groningen (PV)";6
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Friesland (PV)";17
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Friesland (PV)";13
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Friesland (PV)";12
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Friesland (PV)";5
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Friesland (PV)";1
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Friesland (PV)";4
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Drenthe (PV)";13
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Drenthe (PV)";7
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Drenthe (PV)";4
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Drenthe (PV)";3
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Drenthe (PV)";3
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Drenthe (PV)";5
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Overijssel (PV)";29
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Overijssel (PV)";16
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Overijssel (PV)";16
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Overijssel (PV)";7
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Overijssel (PV)";7
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Overijssel (PV)";9
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Flevoland (PV)";6
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Flevoland (PV)";9
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Flevoland (PV)";5
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Flevoland (PV)";3
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Flevoland (PV)";0
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Flevoland (PV)";0
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Gelderland (PV)";35
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Gelderland (PV)";34
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Gelderland (PV)";18
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Gelderland (PV)";15
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Gelderland (PV)";13
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Gelderland (PV)";12
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Utrecht (PV)";31
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Utrecht (PV)";13
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Utrecht (PV)";10
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Utrecht (PV)";8
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Utrecht (PV)";2
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Utrecht (PV)";6
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Noord-Holland (PV)";30
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Noord-Holland (PV)";38
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Noord-Holland (PV)";26
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Noord-Holland (PV)";13
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2018";"Noord-Holland (PV)";12
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2019";"Noord-Holland (PV)";9
"Totaal mannen en vrouwen";"20 tot 30 jaar";"1996";"Zuid-Holland (PV)";41
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2000";"Zuid-Holland (PV)";35
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2005";"Zuid-Holland (PV)";11
"Totaal mannen en vrouwen";"20 tot 30 jaar";"2010";"Zuid-Holland (PV)";10
